<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
VTBR,D,20210104,000000,0.0379250,23826040000
VTBR,D,20210105,000000,0.0384450,28782590000
VTBR,D,20210106,000000,0.0382350,25428390000
VTBR,D,20210108,000000,0.0389400,39504750000
VTBR,D,20210111,000000,0.0398900,60293350000
VTBR,D,20210112,000000,0.0401750,49414150000
VTBR,D,20210113,000000,0.0397350,37088800000
VTBR,D,20210114,000000,0.0398750,26614430000
VTBR,D,20210115,000000,0.0395600,84199700000
VTBR,D,20210118,000000,0.0391600,39167780000
VTBR,D,20210119,000000,0.0386450,33754240000
VTBR,D,20210120,000000,0.0387900,24767440000
VTBR,D,20210121,000000,0.0378700,37873510000
VTBR,D,20210122,000000,0.0373700,33368140000
VTBR,D,20210125,000000,0.0377200,25833990000
VTBR,D,20210126,000000,0.0377200,18534280000
VTBR,D,20210127,000000,0.0370650,24553950000
VTBR,D,20210128,000000,0.0370900,34054250000
VTBR,D,20210129,000000,0.0366350,22231830000
VTBR,D,20210201,000000,0.0369450,20868410000
VTBR,D,20210202,000000,0.0369450,27879580000
VTBR,D,20210203,000000,0.0370000,22583830000
VTBR,D,20210204,000000,0.0373800,18425370000
VTBR,D,20210205,000000,0.0378850,29788030000
VTBR,D,20210208,000000,0.0382850,19924360000
VTBR,D,20210209,000000,0.0378050,25137910000
VTBR,D,20210210,000000,0.0373700,16850560000
VTBR,D,20210211,000000,0.0374700,12235000000
VTBR,D,20210212,000000,0.0376850,20117990000
VTBR,D,20210215,000000,0.0380800,21239530000
VTBR,D,20210216,000000,0.0378900,15712950000
VTBR,D,20210217,000000,0.0376800,23405520000
VTBR,D,20210218,000000,0.0369400,25669960000
VTBR,D,20210219,000000,0.0373800,20646160000
VTBR,D,20210220,000000,0.0373100,3098040000
VTBR,D,20210222,000000,0.0373500,10317550000
VTBR,D,20210224,000000,0.0374800,16602680000
VTBR,D,20210225,000000,0.0374150,36406460000
VTBR,D,20210226,000000,0.0370750,33532730000
VTBR,D,20210301,000000,0.0373850,14681550000
VTBR,D,20210302,000000,0.0376050,19682030000
VTBR,D,20210303,000000,0.0374450,25544080000
VTBR,D,20210304,000000,0.0369750,31175250000
VTBR,D,20210305,000000,0.0375900,25882480000
VTBR,D,20210309,000000,0.0384650,40764200000
VTBR,D,20210310,000000,0.0383100,26415870000
VTBR,D,20210311,000000,0.0382650,24632460000
VTBR,D,20210312,000000,0.0381750,12839710000
VTBR,D,20210315,000000,0.0385700,22959230000
VTBR,D,20210316,000000,0.0387650,19199060000
VTBR,D,20210317,000000,0.0382150,26202870000
VTBR,D,20210318,000000,0.0376100,26253390000
VTBR,D,20210319,000000,0.0378500,27769730000
VTBR,D,20210322,000000,0.0381600,29542990000
VTBR,D,20210323,000000,0.0378000,22963540000
VTBR,D,20210324,000000,0.0379150,13779590000
VTBR,D,20210325,000000,0.0380500,13863770000
VTBR,D,20210326,000000,0.0383800,12057530000
VTBR,D,20210329,000000,0.0387850,25066570000
VTBR,D,20210330,000000,0.0398600,36307520000
VTBR,D,20210331,000000,0.0427150,183364910000
VTBR,D,20210401,000000,0.0425800,93354520000
VTBR,D,20210402,000000,0.0428550,38628630000
VTBR,D,20210405,000000,0.0443750,71690840000
VTBR,D,20210406,000000,0.0429000,96153500000
VTBR,D,20210407,000000,0.0441000,55991110000
VTBR,D,20210408,000000,0.0440550,50183460000
VTBR,D,20210409,000000,0.0437500,30685920000
VTBR,D,20210412,000000,0.0440200,27490580000
VTBR,D,20210413,000000,0.0454800,55308140000
VTBR,D,20210414,000000,0.0467600,83028330000
VTBR,D,20210415,000000,0.0463550,39375660000
VTBR,D,20210416,000000,0.0474750,52215500000
VTBR,D,20210419,000000,0.0464200,53776260000
VTBR,D,20210420,000000,0.0468250,136845990000
VTBR,D,20210421,000000,0.0478600,67672170000
VTBR,D,20210422,000000,0.0480000,57146490000
VTBR,D,20210423,000000,0.0513600,192176100000
VTBR,D,20210426,000000,0.0513150,107092710000
VTBR,D,20210427,000000,0.0512950,59668180000
VTBR,D,20210428,000000,0.0503300,71944660000
VTBR,D,20210429,000000,0.0500100,66592400000
VTBR,D,20210430,000000,0.0516000,73626500000
VTBR,D,20210504,000000,0.0546950,144339140000
VTBR,D,20210505,000000,0.0541250,76267680000
VTBR,D,20210506,000000,0.0542850,37924440000
VTBR,D,20210507,000000,0.0527250,56897060000
VTBR,D,20210510,000000,0.0508950,64890990000
VTBR,D,20210511,000000,0.0495800,87124770000
VTBR,D,20210512,000000,0.0486050,84964420000
VTBR,D,20210513,000000,0.0510550,78435810000
VTBR,D,20210514,000000,0.0500750,55181590000
VTBR,D,20210517,000000,0.0479600,105350800000
VTBR,D,20210518,000000,0.0456700,218952290000
VTBR,D,20210519,000000,0.0453000,345383220000
VTBR,D,20210520,000000,0.0463200,144516270000
VTBR,D,20210521,000000,0.0456050,84364270000
VTBR,D,20210524,000000,0.0454150,52714750000
VTBR,D,20210525,000000,0.0453600,43736580000
VTBR,D,20210526,000000,0.0474850,170810830000
VTBR,D,20210527,000000,0.0486950,189240590000
VTBR,D,20210528,000000,0.0483950,54151190000
VTBR,D,20210531,000000,0.0487500,38974930000
VTBR,D,20210601,000000,0.0495500,100617540000
VTBR,D,20210602,000000,0.0499200,59806230000
